WSPD_M/S,Power_KW
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,44
5.5,100
6,162
6.5,210
7,268
7.5,330
8,406
8.5,485
9,568
9.5,670
10,767
10.5,880
11,984
11.5,996
12,998
12.5,1000
13,1000
13.5,1000
14,1000
14.5,1000
15,1000
15.5,1000
16,1000
16.5,1000
17,1000
17.5,1000
18,1000
18.5,1000
19,1000
19.5,1000
20,1000
20.5,1000
21,1000
21.5,1000
22,1000
22.5,1000
23,1000
23.5,1000
24,1000
24.5,1000
25,1000
